UNITNUM,COUNTYNAME,COUNTY,VTDNAME,VTDCODE,TOT_POP,TOT_WHITE,TOT_BLACK,TOT_ASIAN,TOT_AMIND,TOT_OTHER,TOT_HISPANIC,VAP_TOTAL,VAP_WHITE,VAP_BLACK,VAP_ASIAN,VAP_AMIND,VAP_OTHER,VAP_HISPANIC,REG_TOTAL_25_12,REG_WHITE_25_12,REG_BLACK_25_12,REG_OTHER_25_12,REG_DEM_TOTAL_25_12,REG_DEM_WHITE_25_12,REG_DEM_BLACK_25_12,REG_DEM_OTHER_25_12,REG_REP_TOTAL_25_12,REG_REP_WHITE_25_12,REG_REP_BLACK_25_12,REG_REP_OTHER_25_12,REG_OTH_TOTAL_25_12,REG_OTH_WHITE_25_12,REG_OTH_BLACK_25_12,REG_OTH_OTHER_25_12
3856,Acadia,001,4-3,220010004-3,175,166,0,0,6,3,5,128,122,0,0,3,3,3,92,92,0,0,17,17,0,0,52,52,0,0,23,23,0,0
533,Acadia,001,4-4,220010004-4,2019,1956,14,3,10,36,32,1497,1457,6,3,7,24,18,1320,1299,6,15,246,241,3,2,773,766,0,7,301,292,3,6
556,Acadia,001,4-5,220010004-5,1227,1163,17,5,18,24,40,910,868,12,3,10,17,24,773,761,2,10,149,145,1,3,483,476,1,6,141,140,0,1
526,Acadia,001,4-6,220010004-6,1180,1091,30,1,9,49,52,881,801,27,0,9,44,43,773,744,17,12,158,147,10,1,456,448,0,8,159,149,7,3
520,Acadia,001,5-1,220010005-1,516,407,99,0,6,4,8,404,333,61,0,6,4,6,307,268,32,7,108,82,25,1,143,137,1,5,56,49,6,1
517,Acadia,001,5-2,220010005-2,694,631,36,0,9,18,20,505,462,22,0,5,16,17,374,350,15,9,104,88,13,3,177,173,1,3,93,89,1,3
539,Acadia,001,5-3,220010005-3,1194,1146,24,3,11,10,8,860,834,13,3,8,2,2,755,737,6,12,191,185,4,2,395,388,0,7,169,164,2,3
541,Acadia,001,5-4,220010005-4,599,585,11,1,2,0,1,448,440,5,1,2,0,0,396,392,0,4,132,131,0,1,162,161,0,1,102,100,0,2
542,Acadia,001,5-5,220010005-5,360,334,10,0,6,10,12,269,250,8,0,2,9,10,232,228,0,4,77,75,0,2,112,111,0,1,43,42,0,1
530,Acadia,001,6-1,220010006-1,1913,441,1435,1,8,28,41,1278,330,930,1,2,15,31,722,201,504,17,433,56,372,5,96,81,13,2,193,64,119,10
540,Acadia,001,6-10,22001006-10,473,441,21,0,0,11,15,375,364,4,0,0,7,10,325,313,5,7,80,73,4,3,187,184,0,3,58,56,1,1
531,Acadia,001,6-12,22001006-12,1445,1268,134,12,9,22,24,1151,1025,100,10,3,13,15,925,828,80,17,234,177,57,0,507,494,3,10,184,157,20,7
536,Acadia,001,6-13,22001006-13,779,708,43,11,11,6,9,601,555,23,9,9,5,6,315,303,5,7,66,60,5,1,199,194,0,5,50,49,0,1
545,Acadia,001,6-14,22001006-14,1253,1177,49,2,8,17,22,964,915,28,2,8,11,15,720,689,22,9,173,158,13,2,380,376,0,4,167,155,9,3
538,Acadia,001,6-15,22001006-15,372,336,21,3,4,8,11,262,248,6,3,2,3,4,236,224,7,5,58,52,5,1,130,126,1,3,48,46,1,1
535,Acadia,001,6-16,22001006-16,482,379,62,11,9,21,23,413,326,56,10,5,16,16,379,330,32,17,99,75,20,4,199,194,2,3,81,61,10,10
532,Acadia,001,6-2,220010006-2,612,507,75,3,10,17,15,511,436,50,2,9,14,13,332,298,28,6,88,67,19,2,171,166,3,2,73,65,6,2
559,Acadia,001,6-3,220010006-3,945,527,363,13,11,31,33,700,396,272,9,11,12,17,611,347,250,14,276,70,205,1,219,205,7,7,116,72,38,6
528,Acadia,001,6-4,220010006-4,1960,1195,683,4,24,54,60,1498,947,492,4,18,37,39,866,599,253,14,295,111,180,4,343,325,14,4,228,163,59,6
515,Acadia,001,6-5,220010006-5,736,569,131,19,2,15,22,576,459,92,11,2,12,20,545,446,76,23,144,83,58,3,282,275,0,7,119,88,18,13
529,Acadia,001,6-6,220010006-6,1108,104,988,1,3,12,18,880,93,777,1,3,6,14,638,18,614,6,516,6,509,1,14,3,11,0,108,9,94,5
537,Acadia,001,6-7,220010006-7,2031,1615,249,10,28,129,149,1568,1296,156,10,22,84,92,843,760,66,17,230,185,42,3,382,370,7,5,231,205,17,9
544,Acadia,001,6-8,220010006-8,1839,1436,354,4,6,39,55,1334,1118,184,4,5,23,28,699,611,76,12,209,160,47,2,291,282,5,4,199,169,24,6
527,Acadia,001,7-2,220010007-2,965,864,58,3,9,31,28,692,619,41,1,7,24,23,625,572,37,16,126,96,28,2,395,389,2,4,104,87,7,10
557,Acadia,001,7-3,220010007-3,1754,1633,58,13,22,28,31,1284,1200,38,9,16,21,23,1100,1061,16,23,168,158,6,4,706,695,1,10,226,208,9,9
553,Acadia,001,7-4,220010007-4,1196,1084,62,4,15,31,34,883,808,39,4,10,22,26,898,870,18,10,136,126,8,2,594,590,2,2,168,154,8,6
116,Allen,003,1-1,220030001-1,1135,580,476,10,41,28,21,864,459,351,5,24,25,18,770,380,354,36,403,105,283,15,206,197,6,3,161,78,65,18
124,Allen,003,1-2,220030001-2,318,248,59,1,2,8,1,257,200,47,1,1,8,1,189,151,35,3,85,54,30,1,75,73,1,1,29,24,4,1
114,Allen,003,1-3,220030001-3,427,297,96,3,24,7,5,310,218,68,3,15,6,4,272,204,61,7,100,45,52,3,125,122,2,1,47,37,7,3
119,Allen,003,1-6,220030001-6,835,564,176,13,18,64,82,650,445,120,13,10,62,73,475,401,62,12,172,121,47,4,210,201,5,4,93,79,10,4
118,Allen,003,2-1,220030002-1,725,339,146,13,214,13,26,526,260,94,10,150,12,15,361,198,64,99,159,61,55,43,117,95,2,20,85,42,7,36
112,Allen,003,2-2,220030002-2,1681,1315,257,20,54,35,47,1223,979,167,10,38,29,38,817,698,84,35,198,140,52,6,420,402,5,13,199,156,27,16
110,Allen,003,2-3,220030002-3,733,671,42,1,9,10,7,545,505,28,0,3,9,6,399,379,8,12,59,56,3,0,252,243,4,5,88,80,1,7
126,Allen,003,2-5,220030002-5,3099,1808,703,60,157,371,623,2489,1493,503,47,80,366,611,1201,810,332,59,454,185,257,12,461,431,10,20,286,194,65,27
120,Allen,003,2-6,220030002-6,621,531,54,9,19,8,16,473,408,38,7,12,8,9,362,332,19,11,83,67,14,2,206,202,1,3,73,63,4,6
109,Allen,003,3-1,220030003-1,550,506,13,2,15,14,12,411,384,9,1,6,11,12,364,342,11,11,45,37,7,1,238,230,1,7,81,75,3,3
111,Allen,003,3-2,220030003-2,1313,1229,22,11,32,19,24,989,928,9,10,30,12,17,805,753,27,25,126,108,16,2,453,440,0,13,226,205,11,10
122,Allen,003,4-2,220030004-2,692,633,5,1,38,15,13,526,479,3,0,31,13,7,439,428,1,10,79,77,0,2,267,261,1,5,93,90,0,3
115,Allen,003,4-3,220030004-3,740,701,6,0,15,18,9,534,500,3,0,15,16,7,448,441,0,7,100,99,0,1,260,256,0,4,88,86,0,2
121,Allen,003,5-2,220030005-2,1029,937,23,4,50,15,19,720,655,18,3,31,13,13,589,559,14,16,101,92,7,2,357,343,3,11,131,124,4,3
106,Allen,003,5-3,220030005-3,4233,3281,779,32,103,38,892,3607,2804,671,29,82,21,869,1232,1137,49,46,322,279,32,11,641,622,3,16,269,236,14,19
7884,Allen,003,5-4,220030005-4,1724,1410,209,24,54,27,50,1235,1056,110,20,37,12,28,848,785,34,29,203,173,25,5,454,441,3,10,191,171,6,14
104,Allen,003,5-5,220030005-5,428,364,13,9,37,5,19,332,285,8,6,28,5,11,287,271,1,15,70,63,0,7,157,153,0,4,60,55,1,4
100,Allen,003,5-7,220030005-7,2467,913,1411,33,65,45,27,1819,693,1028,17,53,28,16,939,298,621,20,603,78,516,9,154,143,6,5,182,77,99,6
607,Ascension,005,1,22005000001,2837,2094,403,149,29,162,188,2105,1620,257,95,21,112,128,1854,1453,240,161,334,141,171,22,996,930,5,61,524,382,64,78
618,Ascension,005,10,22005000010,1521,1180,143,33,50,115,131,1185,946,97,19,34,89,95,918,778,75,65,183,115,56,12,448,425,5,18,287,238,14,35
602,Ascension,005,11,22005000011,4323,2638,923,71,100,591,660,3120,1987,655,47,60,371,413,2560,1786,592,182,695,213,436,46,1102,1048,14,40,763,525,142,96
614,Ascension,005,12,22005000012,2856,2134,445,20,59,198,239,2042,1604,268,14,34,122,129,1730,1455,193,82,337,192,132,13,872,839,6,27,521,424,55,42
611,Ascension,005,13,22005000013,3432,2607,509,44,68,204,241,2360,1851,307,25,48,129,149,1838,1492,261,85,372,193,160,19,914,876,10,28,552,423,91,38
629,Ascension,005,14,22005000014,1584,1415,54,14,20,81,92,1140,1052,33,8,14,33,43,993,948,20,25,187,169,14,4,517,507,1,9,289,272,5,12
627,Ascension,005,15,22005000015,1883,1720,27,14,33,89,88,1478,1362,19,10,27,60,55,1258,1215,8,35,232,220,5,7,672,656,1,15,354,339,2,13
609,Ascension,005,16,22005000016,2469,1790,427,61,29,162,172,1833,1364,297,43,21,108,117,1510,1174,245,91,344,144,181,19,754,714,7,33,412,316,57,39
608,Ascension,005,17,22005000017,3902,2089,1233,80,53,447,533,2863,1609,846,63,44,301,358,1799,1084,611,104,644,167,449,28,647,601,13,33,508,316,149,43
604,Ascension,005,18,22005000018,2908,2177,404,27,34,266,295,2123,1613,263,24,26,197,209,1480,1197,209,74,341,172,147,22,680,660,2,18,459,365,60,34
7885,Ascension,005,19,22005000019,1616,1009,463,42,20,82,111,1077,657,333,25,9,53,63,1089,724,309,56,309,67,232,10,455,422,7,26,325,235,70,20
617,Ascension,005,2,22005000002,2376,1735,295,63,45,238,258,1663,1236,202,36,32,157,164,1444,1222,149,73,252,133,103,16,815,787,5,23,377,302,41,34
637,Ascension,005,20,22005000020,1929,1323,396,29,34,147,162,1425,1036,254,19,21,95,108,1102,830,217,55,299,122,160,17,514,499,4,11,289,209,53,27
605,Ascension,005,21,22005000021,1053,852,102,16,23,60,79,775,655,59,6,14,41,52,514,452,36,26,138,108,25,5,231,222,3,6,145,122,8,15
623,Ascension,005,22,22005000022,1081,986,17,4,36,38,35,809,758,8,0,22,21,19,667,645,7,15,127,121,6,0,338,335,0,3,202,189,1,12
638,Ascension,005,23,22005000023,1052,669,227,7,17,132,154,862,585,168,6,16,87,104,661,487,139,35,196,84,102,10,274,266,4,4,191,137,33,21
628,Ascension,005,24,22005000024,755,537,116,4,13,85,87,576,417,90,1,11,57,52,427,348,50,29,116,77,33,6,201,189,3,9,110,82,14,14
630,Ascension,005,25,22005000025,2024,1627,116,2,32,247,284,1547,1284,75,1,18,169,191,1104,993,54,57,215,168,37,10,584,561,3,20,305,264,14,27
622,Ascension,005,26,22005000026,2902,2698,57,11,56,80,102,2223,2084,36,4,49,50,69,1781,1744,8,29,411,404,2,5,876,861,2,13,494,479,4,11
616,Ascension,005,27,22005000027,907,801,31,3,24,48,60,683,612,20,0,11,40,42,553,527,5,21,116,108,3,5,279,273,0,6,158,146,2,10
600,Ascension,005,28,22005000028,1686,596,895,13,24,158,180,1209,482,601,10,14,102,113,706,294,372,40,325,45,270,10,166,149,8,9,215,100,94,21
619,Ascension,005,3,22005000003,2641,2130,254,58,42,157,186,1878,1556,165,35,27,95,113,1532,1300,143,89,265,149,105,11,780,746,1,33,487,405,37,45
635,Ascension,005,30,22005000030,1401,523,631,25,21,201,240,1086,443,458,18,14,153,183,653,240,343,70,334,50,256,28,131,111,7,13,188,79,80,29
633,Ascension,005,31,22005000031,1564,748,656,23,31,106,145,1210,608,489,21,23,69,100,971,507,392,72,432,118,298,16,273,250,9,14,266,139,85,42
636,Ascension,005,32,22005000032,2206,955,660,27,90,474,615,1673,797,472,24,71,309,412,1156,662,408,86,461,128,308,25,405,376,9,20,290,158,91,41
634,Ascension,005,33,22005000033,2314,1876,245,13,31,149,154,1781,1482,158,13,21,107,105,1459,1286,125,48,275,192,75,8,759,723,10,26,425,371,40,14
592,Ascension,005,34,22005000034,1514,1093,267,15,29,110,113,1119,822,194,11,21,71,73,867,683,150,34,282,162,113,7,345,332,2,11,240,189,35,16
596,Ascension,005,35,22005000035,1908,1693,48,12,39,116,145,1398,1269,34,2,24,69,85,1162,1098,19,45,199,182,12,5,627,610,2,15,336,306,5,25
597,Ascension,005,36,22005000036,2347,824,1180,43,27,273,320,1650,616,839,25,10,160,179,1364,547,721,96,656,63,557,36,347,325,9,13,361,159,155,47
606,Ascension,005,37,22005000037,3488,896,2350,15,26,201,280,2573,751,1667,12,16,127,164,1968,423,1433,112,1170,68,1071,31,254,206,29,19,544,149,333,62
7887,Ascension,005,38,22005000038,1308,227,952,15,29,85,102,965,183,695,13,19,55,60,739,151,541,47,483,35,434,14,83,71,8,4,173,45,99,29
599,Ascension,005,39,22005000039,391,167,205,5,5,9,11,293,126,154,4,1,8,7,239,131,102,6,117,34,82,1,72,68,2,2,50,29,18,3
613,Ascension,005,4,22005000004,2707,1866,610,72,18,141,146,1925,1386,387,47,17,88,101,1485,1064,338,83,388,126,248,14,661,637,7,17,436,301,83,52
591,Ascension,005,40,22005000040,2270,1151,983,26,21,89,109,1586,846,660,17,16,47,63,1723,966,673,84,621,90,516,15,665,616,14,35,437,260,143,34
631,Ascension,005,41,22005000041,1458,1297,41,10,38,72,77,1103,991,30,10,30,42,44,863,825,15,23,190,178,8,4,453,443,0,10,220,204,7,9
595,Ascension,005,42,22005000042,811,276,481,9,4,41,53,582,227,310,8,3,34,43,463,228,207,28,196,35,153,8,143,132,3,8,124,61,51,12
590,Ascension,005,43,22005000043,1606,1327,106,11,34,128,169,1242,1064,60,5,28,85,106,1002,909,56,37,207,169,36,2,516,497,4,15,279,243,16,20
603,Ascension,005,44,22005000044,1409,300,1072,1,11,25,38,994,209,753,1,10,21,27,866,186,643,37,563,30,517,16,130,111,9,10,173,45,117,11
598,Ascension,005,45,22005000045,351,52,254,2,7,36,53,270,45,191,0,6,28,38,195,36,153,6,147,12,133,2,17,14,2,1,31,10,18,3
584,Ascension,005,47,22005000047,1913,141,1719,6,11,36,59,1256,126,1093,5,9,23,36,901,61,832,8,689,24,661,4,39,17,22,0,173,20,149,4
593,Ascension,005,48,22005000048,626,368,234,6,4,14,19,480,315,145,6,3,11,15,400,290,104,6,164,72,91,1,156,154,2,0,80,64,11,5
612,Ascension,005,5,22005000005,2772,1955,478,60,53,226,258,1987,1461,308,37,42,139,153,1606,1239,259,108,381,177,172,32,711,679,5,27,514,383,82,49
594,Ascension,005,50,22005000050,1145,450,659,2,5,29,31,947,409,507,2,5,24,29,434,214,214,6,250,69,180,1,115,109,6,0,69,36,28,5
585,Ascension,005,51,22005000051,1285,82,1174,3,2,24,34,937,58,858,2,2,17,27,674,40,626,8,536,17,513,6,28,16,12,0,110,7,101,2
589,Ascension,005,52,22005000052,769,276,466,1,1,25,30,543,250,273,1,1,18,21,349,197,145,7,189,62,123,4,97,95,2,0,63,40,20,3
583,Ascension,005,53,22005000053,873,432,352,2,9,78,92,696,365,256,2,8,65,77,500,309,171,20,254,99,149,6,153,149,0,4,93,61,22,10
588,Ascension,005,54,22005000054,1203,408,767,1,4,23,28,937,364,553,1,2,17,22,805,335,457,13,504,111,383,10,175,168,7,0,126,56,67,3
587,Ascension,005,55,22005000055,885,133,738,3,2,9,21,700,115,575,3,2,5,17,524,79,436,9,432,41,386,5,25,21,4,0,67,17,46,4
586,Ascension,005,57,22005000057,687,70,608,1,2,6,5,517,70,439,1,2,5,4,318,31,281,6,261,22,235,4,13,8,5,0,44,1,41,2
632,Ascension,005,58,22005000058,2172,1223,701,22,22,204,257,1609,988,465,17,14,125,153,1034,694,269,71,327,133,173,21,393,363,10,20,314,198,86,30
626,Ascension,005,6,22005000006,2858,1987,535,89,53,194,222,2021,1434,380,55,35,117,130,1689,1263,318,108,424,171,235,18,814,760,11,43,451,332,72,47
886,Ascension,005,61,22005000061,2034,1700,164,42,23,105,111,1455,1233,111,28,16,67,68,1305,1129,102,74,186,106,72,8,734,698,5,31,385,325,25,35
885,Ascension,005,62,22005000062,1023,807,138,20,12,46,41,734,587,97,12,8,30,26,736,610,102,24,130,54,75,1,409,393,4,12,197,163,23,11
887,Ascension,005,63,22005000063,1828,1331,290,84,46,77,107,1154,847,187,39,32,49,73,1394,1009,263,122,300,85,191,24,699,651,4,44,395,273,68,54
883,Ascension,005,64,22005000064,1817,1303,292,90,27,105,129,1304,966,185,69,22,62,77,1088,894,122,72,204,118,77,9,568,533,7,28,316,243,38,35
7888,Ascension,005,65,22005000065,772,476,207,13,8,68,75,567,356,142,7,7,55,50,995,598,355,42,321,52,259,10,436,416,5,15,238,130,91,17
884,Ascension,005,66,22005000066,1926,1495,300,36,18,77,86,1585,1244,237,31,14,59,63,1529,1182,271,76,332,120,195,17,828,784,5,39,369,278,71,20
6091,Ascension,005,68,22005000068,1452,1142,179,51,16,64,67,884,705,107,25,9,38,41,1030,843,120,67,153,66,77,10,544,523,2,19,333,254,41,38
6093,Ascension,005,69,22005000069,1144,1059,34,5,25,21,48,830,794,8,2,15,11,28,752,723,9,20,111,103,5,3,420,410,2,8,221,210,2,9
610,Ascension,005,7,22005000007,2459,1571,565,176,23,124,145,1716,1099,406,121,11,79,88,1555,1000,396,159,418,96,288,34,689,635,10,44,448,269,98,81
625,Ascension,005,71,22005000071,3576,2177,940,94,84,281,309,2495,1547,626,73,57,192,211,1957,1282,520,155,587,161,388,38,782,731,13,38,588,390,119,79
639,Ascension,005,72,22005000072,1703,1151,387,32,9,124,141,1230,878,242,18,6,86,88,921,667,192,62,266,110,140,16,377,349,4,24,278,208,48,22
624,Ascension,005,73,22005000073,721,533,86,6,29,67,84,533,407,49,2,26,49,69,360,318,28,14,67,48,17,2,189,182,0,7,104,88,11,5
615,Ascension,005,76,22005000076,3118,2335,497,42,59,185,231,2144,1669,305,26,38,106,123,1786,1457,239,90,348,149,186,13,935,886,11,38,503,422,42,39
621,Ascension,005,77,22005000077,2109,1521,338,90,26,134,163,1432,1050,233,50,12,87,102,1352,996,231,125,287,101,160,26,633,585,9,39,432,310,62,60
640,Ascension,005,78,22005000078,1944,1339,375,87,37,106,104,1322,928,243,62,26,63,62,1168,895,180,93,233,72,132,29,633,594,6,33,302,229,42,31
620,Ascension,005,8,22005000008,3009,2235,396,107,43,228,249,2188,1659,281,69,30,149,156,2080,1606,313,161,405,176,211,18,1037,979,10,48,638,451,92,95
601,Ascension,005,9,22005000009,1887,1363,319,40,49,116,130,1328,977,224,26,33,68,76,1172,925,191,56,269,116,143,10,576,551,7,18,327,258,41,28
3262,Assumption,007,1-1,220070001-1,679,67,594,2,1,15,17,534,57,463,1,1,12,14,407,54,351,2,321,21,299,1,30,21,9,0,56,12,43,1
952,Assumption,007,1-2,220070001-2,1459,617,802,8,8,24,35,1129,492,609,4,4,20,30,982,416,549,17,601,132,464,5,220,204,14,2,161,80,71,10
4174,Assumption,007,1-3,220070001-3,183,143,26,1,7,6,9,135,115,10,0,7,3,6,95,87,8,0,30,24,6,0,39,38,1,0,26,25,1,0
3264,Assumption,007,2-1,220070002-1,624,525,62,1,6,30,30,466,388,46,0,6,26,26,456,405,44,7,119,83,35,1,244,238,2,4,93,84,7,2
3267,Assumption,007,2-3,220070002-3,786,656,83,0,15,32,41,624,531,54,0,14,25,32,439,397,34,8,163,132,29,2,180,178,1,1,96,87,4,5
3268,Assumption,007,2-4,220070002-4,598,508,42,4,7,37,45,500,441,34,1,1,23,27,317,279,29,9,108,86,21,1,133,131,1,1,76,62,7,7
3266,Assumption,007,2-5,220070002-5,388,293,70,2,11,12,26,289,223,48,1,9,8,10,210,177,22,11,78,57,17,4,83,81,0,2,49,39,5,5
3270,Assumption,007,3-1,220070003-1,389,320,52,1,1,15,13,304,261,36,0,1,6,6,195,183,10,2,51,42,7,2,93,93,0,0,51,48,3,0
3269,Assumption,007,3-2,220070003-2,1922,1518,86,25,76,217,226,1464,1212,39,21,58,134,142,822,772,10,40,144,130,3,11,405,393,1,11,273,249,6,18
3272,Assumption,007,4-1,220070004-1,1610,500,1042,12,18,38,57,1240,405,794,4,15,22,31,1037,342,668,27,656,88,557,11,190,169,18,3,191,85,93,13
3273,Assumption,007,4-3,220070004-3,517,246,246,0,3,22,24,403,225,163,0,3,12,14,312,196,109,7,144,56,85,3,99,95,3,1,69,45,21,3
4173,Assumption,007,4-4,220070004-4,289,82,195,2,2,8,10,223,66,148,2,1,6,10,127,34,93,0,89,8,81,0,18,18,0,0,20,8,12,0
3276,Assumption,007,5-1,220070005-1,540,84,442,2,4,8,15,425,68,349,0,3,5,11,334,46,286,2,254,17,237,0,30,20,9,1,50,9,40,1
3274,Assumption,007,5-2,220070005-2,1130,684,386,6,9,45,62,910,556,319,2,8,25,36,617,439,174,4,257,115,141,1,240,234,6,0,120,90,27,3
3275,Assumption,007,5-3,220070005-3,574,463,89,1,7,14,25,476,394,65,0,7,10,21,316,283,30,3,116,94,21,1,127,126,1,0,73,63,8,2
3277,Assumption,007,5-5,220070005-5,37,36,1,0,0,0,1,25,25,0,0,0,0,0,27,27,0,0,11,11,0,0,13,13,0,0,3,3,0,0
3278,Assumption,007,6-1,220070006-1,1091,573,479,8,11,20,28,862,445,380,7,10,20,23,750,421,310,19,398,131,260,7,219,204,10,5,133,86,40,7
3284,Assumption,007,6-2,220070006-2,864,227,620,1,6,10,11,667,191,461,1,5,9,8,436,70,363,3,344,20,322,2,36,32,4,0,56,18,37,1
3279,Assumption,007,6-3,220070006-3,489,72,402,0,3,12,12,393,58,321,0,2,12,12,279,34,244,1,219,7,211,1,23,18,5,0,37,9,28,0
3263,Assumption,007,7-1,220070007-1,1403,918,441,2,5,37,53,1119,741,343,1,2,32,41,834,597,226,11,373,171,202,0,314,307,2,5,147,119,22,6
3280,Assumption,007,7-2,220070007-2,337,295,21,0,3,18,22,281,253,10,0,1,17,20,193,187,0,6,52,51,0,1,90,90,0,0,51,46,0,5
3281,Assumption,007,7-3,220070007-3,534,484,9,0,10,31,25,410,384,7,0,6,13,9,311,307,1,3,108,107,1,0,139,136,0,3,64,64,0,0
3282,Assumption,007,8-1,220070008-1,2311,2209,14,14,31,43,58,1861,1795,6,8,22,30,41,1321,1312,2,7,465,464,1,0,565,562,0,3,291,286,1,4
3283,Assumption,007,9-1,220070009-1,2285,2202,16,4,14,49,69,1876,1819,2,4,11,40,61,1370,1355,3,12,413,412,1,0,687,679,0,8,270,264,2,4
287,Avoyelles,009,1-1,220090001-1,1420,1360,25,9,11,15,12,1076,1032,20,6,11,7,7,809,792,5,12,138,134,3,1,493,484,1,8,178,174,1,3
286,Avoyelles,009,1-2,220090001-2,1387,1353,8,0,15,11,11,1132,1105,4,0,15,8,4,717,699,6,12,144,141,2,1,422,413,3,6,151,145,1,5
292,Avoyelles,009,1-3,220090001-3,1457,1320,55,7,42,33,29,1086,986,33,7,29,31,19,764,732,13,19,178,167,8,3,389,381,2,6,197,184,3,10
319,Avoyelles,009,10-2,220090010-2,1537,456,1016,6,35,24,28,1157,387,724,2,28,16,22,685,244,416,25,404,74,322,8,127,103,17,7,154,67,77,10
325,Avoyelles,009,10-2A,22009010-2A,731,572,111,3,36,9,29,570,469,60,1,35,5,10,461,404,47,10,130,102,25,3,229,224,2,3,102,78,20,4
324,Avoyelles,009,10-3A,22009010-3A,388,299,55,0,19,15,25,298,237,36,0,15,10,19,219,197,16,6,50,36,14,0,127,125,1,1,42,36,1,5
